Rank,Name,Games Won,Region,Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,NetRtg,NetRtg.1,Luck,NetRtgTotal,NetRtgTotalPlusLuck
52,Charleston,0,1,13,0.866061294,0.3293523197,0.7087818697,0.4123867069,0.45625,0.5914634146,0.5840707965,0.7878787879,0.5222929936,0.7296416938,0.649122807,0.66,0.5754189944,0.5263157895,0.5106382979,0.5945945946,0.8910891089,0.358778626,0.5782945736,0.5641025641,0.7481481481,0.2279792746,0.7,0.5701754385964912,-1.68,0.047,0.47420537897310505,0.4749502423776207
53,Vermont,0,2,13,0.9001135074,0.2824988516,0.4779036827,0.7734138973,0.5375,0.5853658537,0.5840707965,0.6691919192,0.7611464968,0.7752442997,0.5263157895,0.248,0.625698324,0.5789473684,0.780141844,0.2972972973,0.8514851485,0.2900763359,0.5255813953,0.5512820513,0.7185185185,0.3056994819,0.7652173913,0.5566458519179305,-2.2,0.078,0.4567237163814181,0.45786780956567397
54,Samford,0,3,13,0.933030647,0.2907671107,0.8645892351,0.3591389728,0.76875,0.8841463415,0.6194690265,0.8181818182,0.6369426752,0.8078175896,0.4795321637,0.548,0.8491620112,0.8187134503,0.5106382979,0.8851351351,0.5346534653,0.7251908397,0.719379845,0.7179487179,0.5925925926,0.5647668394,0.4347826087,0.6074933095450491,-2.14,0.11,0.49926650366748165,0.5007509432579949
55,Morehead St,0,0,14,0.8331441544,0.1823610473,0.5671388102,0.7802114804,0.61875,0.6890243902,0.517699115,0.7702020202,0.7898089172,0.8550488599,0.8479532164,0.74,0.7262569832,0.6608187135,0.865248227,0.3445945946,0.5544554455,0.3129770992,0.3410852713,0.641025641,0.5407407407,0.310880829,0.5913043478,0.5349390425215581,-5.27,0.043,0.4013447432762836,0.40212706204134463
56,Colgate,0,1,14,0.799091941,0.1819016996,0.454674221,0.7632175227,0.625,0.6890243902,0.4115044248,0.6085858586,0.7802547771,0.7459283388,0.5964912281,0.328,0.6592178771,0.5789473684,0.7872340426,0.3581081081,0.6732673267,0.3816793893,0.5007751938,0.6794871795,0.6666666667,0.1813471503,0.8608695652,0.48067201903062745,-6.51,0.068,0.3415647921760391,0.34272317667313823
58,Akron,0,3,14,0.7661748014,0.3454294901,0.5263456091,0.664652568,0.5375,0.487804878,0.6194690265,0.6742424242,0.6878980892,0.7410423453,0.6666666667,0.556,0.5865921788,0.567251462,0.6595744681,0.3918918919,0.6237623762,0.4045801527,0.4550387597,0.4615384615,0.4592592593,0.4455958549,0.7260869565,0.5264644662503717,-1.43,0.008,0.44132029339853296,0.441627898457819
59,S Dakota St,0,0,15,0.6992054484,0.3160312356,0.6036827195,0.4769637462,0.70625,0.7012195122,0.5309734513,0.696969697,0.5477707006,0.6840390879,0.5555555556,0.324,0.7541899441,0.6900584795,0.5177304965,0.5067567568,0.6534653465,0.358778626,0.4666666667,0.3141025641,0.4518518519,0.3005181347,0.7130434783,0.4983645554564377,-2.05,-0.013,0.41063569682151585,0.4107232255149762
60,LongBeach St,0,1,15,0.6458569807,0.3881488287,0.6314447592,0.2922960725,0.48125,0.3658536585,0.5442477876,0.5732323232,0.5159235669,0.5879478827,0.5964912281,0.656,0.3910614525,0.4093567251,0.4468085106,0.777027027,0.6237623762,0.5038167939,0.5410852713,0.6346153846,0.5111111111,0.6321243523,0.5652173913,0.4546535831103182,-0.3,0.053,0.3960880195599022,0.39699866905991676
61,W Kentucky,0,2,15,0.721906924,0.3050068902,0.711898017,0.3546072508,0.6125,0.5609756098,0.5796460177,0.5707070707,0.7070063694,0.6840390879,0.5964912281,0.472,0.5642458101,0.5438596491,0.6595744681,1.0,0.504950495,0.5038167939,0.4953488372,0.2980769231,0.3259259259,0.4663212435,0.5782608696,0.5014867677668748,-2.07,-0.036,0.4129584352078239,0.41276237224806767
62,St Peter's,0,3,15,0.639046538,0.1855764814,0.2801699717,0.7556646526,0.16875,0.512195122,0.5530973451,0.4065656566,0.7324840764,0.5912052117,0.5789473684,0.724,0.1620111732,0.2105263158,0.6312056738,0.2837837838,0.4752475248,0.6259541985,0.515503876,0.4326923077,0.237037037,0.6632124352,0.2652173913,0.41332143919119835,-3.95,0.041,0.317481662591687,0.31833888909239655
63,Stetson,0,0,16,0.6992054484,0.2838768948,0.6246458924,0.4025679758,0.60625,0.743902439,0.7876106195,0.7853535354,0.3821656051,0.6563517915,0.4970760234,0.492,0.6927374302,0.6783625731,0.5319148936,0.4189189189,0.7425742574,0.1832061069,0.3868217054,0.4294871795,0.562962963,0.4093264249,0.7956521739,0.39131727624145113,-2.86,0.145,0.31271393643031786,0.31484669768123374
65,Wagner,0,1,16,0.5505107832,0.02434542949,0.2294617564,0.8062688822,0.1375,0.4512195122,0.5398230088,0.4141414141,0.7038216561,0.5814332248,0.5380116959,0.548,0.1843575419,0.1520467836,0.6808510638,0.1148648649,0.7623762376,0.4427480916,0.5527131783,0.6538461538,0.5555555556,0.1813471503,0.7043478261,0.3096937258400238,-7.47,0.043,0.18924205378973102,0.19027559007045436
66,Longwood,0,2,16,0.6662883087,0.2053284336,0.5696883853,0.5857250755,0.5375,0.5792682927,0.4115044248,0.6565656566,0.678343949,0.7247557003,0.865497076,0.868,0.469273743,0.4502923977,0.475177305,0.4797297297,0.5841584158,0.6183206107,0.5503875969,0.3814102564,0.3703703704,0.6010362694,0.5086956522,0.4635741897115671,-3.4,-0.005,0.3655256723716381,0.36576431371112494
67,Grambling,0,3,16,0.6322360953,0.1667432246,0.3439093484,0.5445619335,0.4375,0.5548780488,0.5221238938,0.4166666667,0.5573248408,0.5081433225,0.4269005848,0.524,0.3798882682,0.3918128655,0.5319148936,0.3986486486,0.3663366337,0.5114503817,0.4139534884,0.1698717949,0.1481481481,0.6476683938,0.5173913043,0.35295866785608093,-4.42,0.139,0.2621026894865526,0.2642221326788527
